model,prompt_type,ttft_sec,total_latency_sec,approx_output_chars,approx_output_tokens,approx_tokens_per_sec,output_preview,run
deepseek-chat,coding,0.8064693260002969,6.554987698000332,2742,979.2857142857143,149.3955075742485,"다음은 Python으로 재시도, 지수 백오프, 타임아웃 처리가 포함된 API 호출 함수와 사용 예시입니다.  ```python import time import requests from functools import",1
deepseek-chat,coding,0.7714116940005624,6.192445120001139,3265,1166.0714285714287,188.30549257596235,"다음은 Python으로 재시도, 지수 백오프, 타임아웃 처리가 포함된 API 호출 함수와 사용 예시입니다.  ```python import time import requests from functools import",2
deepseek-chat,coding,0.6212359900000592,6.5419064210000215,2676,955.7142857142858,146.09109703042674,"다음은 Python으로 재시도, 지수 백오프, 타임아웃 처리가 포함된 API 호출 함수와 사용 예시입니다.  ```python import time import requests from functools import",3
deepseek-chat,coding,0.6812622280012874,6.52612423500068,2985,1066.0714285714287,163.35444900878716,"다음은 Python으로 재시도, 지수 백오프, 타임아웃 처리가 포함된 API 호출 함수와 사용 예시입니다.  ```python import time import requests from functools import",4
deepseek-chat,coding,0.786277068000345,6.301360481000302,3354,1197.857142857143,190.09500352644332,"다음은 Python으로 재시도, 지수 백오프, 타임아웃 처리가 포함된 API 호출 함수와 사용 예시입니다.  ```python import time import requests from functools import",5
deepseek-reasoner,simple,2.9518832539997675,3.764465455999016,158,56.42857142857143,14.989796582844825,"REST API는 HTTP 프로토콜 기반의 요청-응답 방식으로, 클라이언트가 요청할 때만 서버가 응답합니다. 반면 WebSocket은 단일 TCP 연결로 지속적인 양방향 통신이 가능하여 실시간 데이터 교환에 적합합니",1
deepseek-reasoner,simple,2.46197605999987,3.642785477999496,206,73.57142857142857,20.196475750702646,"REST API는 HTTP 기반 요청-응답 방식으로, 클라이언트가 요청할 때만 서버가 응답합니다. WebSocket은 양방향 실시간 통신을 지원하는 프로토콜로, 연결이 유지되는 동안 서버가 클라이언트에 능동적으로 데",2
deepseek-reasoner,simple,3.648265091000212,5.156210230999932,301,107.5,20.848645649413868,"REST API는 HTTP 기반의 요청-응답 방식으로, 클라이언트가 요청을 보내면 서버가 응답하는 단방향 통신입니다. 상태를 유지하지 않으며(Stateless), 연결 후 바로 종료됩니다.  WebSocket은 한번",3
deepseek-reasoner,simple,3.138172171000406,4.3736728519998,211,75.35714285714286,17.229716397898137,"REST API는 HTTP 기반 요청-응답 방식으로, 클라이언트가 요청할 때만 서버가 응답합니다. 반면 WebSocket은 양방향 실시간 통신을 지원하며, 한 번 연결되면 서버와 클라이언트가 지속적으로 데이터를 주고",4
deepseek-reasoner,simple,3.225627990999783,5.176634200999615,318,113.57142857142858,21.939241631077156,"REST API는 HTTP 기반으로 클라이언트가 요청을 보내면 서버가 응답하는 단방향 통신입니다. 요청마다 새로운 연결을 맺고 끊으며, 상태를 저장하지 않는 stateless 특성이 있어 주로 CRUD 작업에 사용됩",5
deepseek-reasoner,reasoning,,9.931898759999967,0,1.0,0.10068568197930396,,1
deepseek-reasoner,reasoning,,10.082661029999144,0,1.0,0.09918016652793145,,2
deepseek-reasoner,reasoning,,9.695695506001357,0,1.0,0.10313855250312148,,3
deepseek-reasoner,reasoning,,10.42163146099847,0,1.0,0.09595426625306827,,4
deepseek-reasoner,reasoning,9.199584129999494,9.606760005000979,60,21.42857142857143,2.230572161417209,## 주식 자동매매 시스템 API 분리 설계 가이드  ### 1단계: 각 API의 비즈니스 특성과 성질 차이,5
deepseek-reasoner,coding,,9.06804297600138,0,1.0,0.1102773776708497,,1
deepseek-reasoner,coding,4.269249569999374,8.21415578000051,1414,505.00000000000006,61.47923335342061,"아래는 Python으로 재시도, 지수 백오프, 타임아웃 처리가 포함된 API 호출 함수 예시입니다.   `requests` 라이브러리를 사용하며, 재시도 로직은 직접 구현했습니다.  ```python import t",2
deepseek-reasoner,coding,5.479212649999681,8.858945395999399,1035,369.64285714285717,41.72537933350213,"다음은 Python에서 재시도, 지수 백오프, 타임아웃 처리가 포함된 API 호출 함수입니다. `requests` 라이브러리를 사용하며, 재시도 횟수, 초기 지연 시간, 최대 타임아웃 등을 쉽게 설정할 수 있습니다.",3
deepseek-reasoner,coding,,9.221323660998678,0,1.0,0.108444301139702,,4
deepseek-reasoner,coding,8.330938090999553,8.665620808998938,225,80.35714285714286,9.27309706117014,"```python import time import random import requests from typing import Optional, Callable   def call_api_with_retry(    ",5
deepseek-v4-flash,simple,3.943960763001087,5.457448157001636,270,96.42857142857143,17.669168566422083,"**REST API**는 HTTP 기반 요청-응답 방식으로, 클라이언트가 요청할 때만 서버가 응답합니다. 상태를 저장하지 않고(stateless), 주로 CRUD 작업에 사용됩니다.   **WebSocket**은 양",1
deepseek-v4-flash,simple,4.174042679000195,5.534783032999258,217,77.5,14.002355564424597,"REST API는 HTTP 기반으로 클라이언트 요청 시 서버가 응답하는 단방향 통신(요청-응답 방식)이며, 상태를 저장하지 않고(stateless) 필요한 경우에만 연결합니다. 반면 WebSocket은 한 번 연결되",2
deepseek-v4-flash,simple,3.5048972010008583,4.9599241630003235,230,82.14285714285715,16.56131312563615,"REST API는 HTTP 기반의 요청-응답 방식으로, 클라이언트가 요청할 때만 서버가 응답하는 단방향 통신입니다. 반면 WebSocket은 하나의 연결로 양방향 실시간 통신이 가능하여 서버가 클라이언트에게 능동적으",3
deepseek-v4-flash,simple,2.939167622000241,4.018936880000183,191,68.21428571428572,16.973216487610678,"REST API는 HTTP 기반으로 클라이언트가 요청할 때만 서버가 응답하는 **단방향 통신**이며, 각 요청이 독립적(stateless)입니다. 반면 WebSocket은 **양방향 지속 연결**을 유지하여 서버가 ",4
deepseek-v4-flash,simple,3.2798679820007237,4.575708615000622,236,84.28571428571429,18.420253861751387,REST API와 WebSocket은 통신 방식에서 큰 차이가 있습니다. REST API는 HTTP 프로토콜 기반으로 클라이언트가 요청을 보내면 서버가 응답하는 단방향 통신입니다. 무상태(stateless)이며 요청,5
deepseek-v4-flash,reasoning,,10.236928317999627,0,1.0,0.0976855526321989,,1
deepseek-v4-flash,reasoning,7.360929551001391,9.526354139001342,368,131.42857142857144,13.7963138374729,"주식 자동매매 시스템에서 **실시간 시세**, **뉴스**, **공시**, **주문 API**를 분리 설계하는 것은 각 API의 고유한 특성(실시간성, 신뢰성, 보안, 데이터 성격)에 기반해야 합니다. 아래에 논리적",2
deepseek-v4-flash,reasoning,10.116858759000024,10.294646509999438,34,12.142857142857144,1.1795312380140974,## 주식 자동매매 시스템 API 분리 설계 기준 (단계별 논,3
deepseek-v4-flash,reasoning,4.141298163000101,10.329348441999173,829,296.0714285714286,28.66312722761883,"## 주식 자동매매 시스템 API 분리 설계 분석  ### 1단계: 데이터 특성별 분류  **1. 시간 민감도와 갱신 주기 분석** - **실시간 시세**: 밀리초~초 단위 갱신, 연속적 데이터 스트림 - **뉴스*",4
deepseek-v4-flash,reasoning,,10.553634281000996,0,1.0,0.0947540888166111,,5
deepseek-v4-flash,coding,6.81139422600063,10.65464106699983,726,259.2857142857143,24.335471524121914,"를 반환하되, JSON을 원하면 .json() 호출하도록.  추가로, 재시도 시 exponential backoff with jitter를 사용.의 상태 코드에 따라 재시도할 수도 있지만, 여기서는 예외가 발생할 때",1
deepseek-v4-flash,coding,7.7178566490001685,9.642030740000337,492,175.71428571428572,18.22378401941079,"다음은 Python으로 재시도, 지수 백오프, 타임아웃 처리가 포함된 API 호출 함수입니다. 표준 라이브러리 `time`과 `requests`를 사용하여 구현했으며, 재시도 조건은 HTTP 5xx 오류 및 네트워크",2
deepseek-v4-flash,coding,,9.706847881001522,0,1.0,0.10302005473447505,,3
deepseek-v4-flash,coding,,9.116338833000555,0,1.0,0.10969315843988432,,4
deepseek-v4-flash,coding,7.199120186998698,7.744696616999136,140,50.0,6.456030813428257,"다음은 Python으로 재시도(Retry), 지수 백오프(Exponential Backoff), 타임아웃(Timeout) 처리가 포함된 API 호출 함수입니다. `requests` 라이브러리를 사용하며, 표준 라이브",5
deepseek-v4-pro,simple,15.916396885000722,17.993868568000835,227,81.07142857142858,4.505502986478456,"REST API는 클라이언트 요청에 서버가 응답하는 단방향 통신 방식으로, HTTP 프로토콜 위에서 작동합니다. 반면 WebSocket은 한 번의 핸드셰이크 후 지속적 연결을 유지하여 서버와 클라이언트가 자유롭게 데",1
deepseek-v4-pro,simple,,14.968100538999352,0,1.0,0.06680874419533075,,2
deepseek-v4-pro,simple,,16.270359419999295,0,1.0,0.06146145725403055,,3
deepseek-v4-pro,simple,12.022928475998924,15.976791166000112,282,100.71428571428572,6.303786828522474,"REST API는 요청-응답 구조로, 클라이언트가 필요할 때마다 서버에 요청하고 응답받는 무상태(Stateless) 방식입니다. 반면 WebSocket은 한 번 연결을 맺으면 지속적으로 양방향 통신 채널을 유지합니다",4
deepseek-v4-pro,simple,,18.159661044999666,0,1.0,0.055067107118464305,,5
deepseek-v4-pro,reasoning,22.26688039400142,22.26725256300051,1,1.0,0.04490899796329656,주,1
deepseek-v4-pro,reasoning,,22.5850507819996,0,1.0,0.04427707555995425,,2
deepseek-v4-pro,reasoning,10.16785566100043,23.30617133099986,768,274.2857142857143,11.768801936201468,"주식 자동매매 시스템에서 실시간 시세, 뉴스, 공시, 주문 API를 분리 설계하는 것은 유지보수성, 확장성, 장애 격리, 성능 최적화에 직결됩니다. 아래는 논리적 단계별 설계 기준과 분리 원칙입니다.  ---  ##",3
deepseek-v4-pro,reasoning,,21.71735258099943,0,1.0,0.046046128148921,,4
deepseek-v4-pro,reasoning,21.535881899000742,23.38179047199992,117,41.78571428571429,1.7871049839298394,"주식 자동매매 시스템에서 실시간 시세, 뉴스, 공시, 주문 API를 각각 별도로 분리 설계하는 근거를 논리적 단계로 설명하겠습니다.  ## 1. 경계 컨텍스트 식별 – 각 도메인의 책임과 성격을 구분 설계의 첫",5
deepseek-v4-pro,coding,14.203248731000713,19.658818526999312,744,265.7142857142857,13.516289666612224,"아래는 재시도, 지수 백오프, 타임아웃 처리를 모두 갖춘 API 호출 함수와 간단한 사용 예시입니다. `requests` 라이브러리를 사용하며, 필요에 따라 `httpx` 등으로 쉽게 변경할 수 있습니다.  ```p",1
deepseek-v4-pro,coding,10.321457551999629,17.801001302999794,1103,393.92857142857144,22.129573765167205,"아래는 `requests` 라이브러리를 활용해 재시도, 지수 백오프, 타임아웃 처리를 갖춘 API 호출 함수입니다. 네트워크 오류, HTTP 5xx, 429(Too Many Requests) 등에 대해 자동 재시도를",2
deepseek-v4-pro,coding,12.469133983000575,18.91094569300003,883,315.3571428571429,16.675905476999688,"아래는 Python의 `requests` 라이브러리를 기반으로 지수 백오프, 타임아웃, 재시도 처리를 포함한 API 호출 함수입니다.  ```python import time import requests from r",3
deepseek-v4-pro,coding,15.044464178001363,18.352240513000652,610,217.85714285714286,11.870874441887015,"다음은 `requests` 라이브러리를 기반으로 재시도(retry), 지수 백오프(exponential backoff), 타임아웃 처리가 포함된 API 호출 함수입니다.  ```python import request",4
deepseek-v4-pro,coding,16.560838004999823,19.54250644900094,406,145.0,7.419723789187377,"아래 코드는 `requests` 라이브러리로 HTTP 요청을 보내면서 **재시도(retry)**, **지수 백오프(exponential backoff)**, **타임아웃(timeout)** 을 적용하는 함수입니다. ",5
